workshop_id,workshop_name,city,district_profile,region,climate_zone,price_level,opening_time,closing_time,working_days,sunday_open,service_bay_count,technician_count,senior_technician_count,daily_service_capacity,appointment_rate,walk_in_rate,avg_parts_lead_days,same_day_parts_rate,multibrand,specialization,supported_powertrains,supported_final_drives,supports_ev,supports_abs_diagnostics,supports_advanced_diagnostics,labor_rate_index,parts_sale_multiplier,customer_volume_index,courier_customer_share,seasonality_strength,data_origin,generator_version,scenario_id,notes
WS0001,RideBase Sentetik Servis İstanbul Anadolu,İstanbul,METROPOLITAN_DENSE,Marmara,TEMPERATE_HUMID,LOW,08:30,18:30,"MON,TUE,WED,THU,FRI,SAT",1,4,5,1,11,0.45,0.55,2.0,0.72,1,SCOOTER;CUB;COMMUTER,ICE;EV,CHAIN;V_BELT;DIRECT,1,1,0,0.9,0.92,1.25,0.28,0.12,SYNTHETIC,1.1.0,URBAN_VALUE_HIGH_VOLUME,"Yüksek hacimli, fiyat hassasiyeti yüksek şehir içi servis profili."
WS0002,RideBase Sentetik Servis Ankara,Ankara,METROPOLITAN,İç Anadolu,CONTINENTAL_DRY,MEDIUM,08:30,18:00,"MON,TUE,WED,THU,FRI,SAT",0,6,7,2,15,0.58,0.42,1.8,0.78,1,NAKED;SCOOTER;TOURING,ICE;EV,CHAIN;V_BELT;BELT;DIRECT,1,1,1,1.0,1.0,1.05,0.18,0.25,SYNTHETIC,1.1.0,BALANCED_MULTIBRAND,Dengeli randevu/yaya geliş oranı olan çok markalı merkez servis.
WS0003,RideBase Sentetik Servis İzmir,İzmir,COASTAL_METROPOLITAN,Ege,MEDITERRANEAN_COASTAL,MEDIUM,09:00,19:00,"MON,TUE,WED,THU,FRI,SAT",0,7,8,2,18,0.62,0.38,1.5,0.82,1,SCOOTER;BIG_SCOOTER;NAKED,ICE;EV,CHAIN;V_BELT;BELT;DIRECT,1,1,1,1.02,1.03,1.18,0.22,0.1,SYNTHETIC,1.1.0,COASTAL_SCOOTER_HEAVY,Ilıman iklim nedeniyle yıl boyu daha yüksek scooter kullanımına göre tasarlanmıştır.
WS0004,RideBase Sentetik Servis Bursa,Bursa,INDUSTRIAL_METROPOLITAN,Marmara,TEMPERATE_HUMID,HIGH,08:00,18:30,"MON,TUE,WED,THU,FRI,SAT",0,8,10,3,21,0.7,0.3,1.3,0.86,1,NAKED;SPORT;TOURING;BIG_SCOOTER,ICE;EV,CHAIN;V_BELT;BELT;SHAFT;DIRECT,1,1,1,1.1,1.1,1.12,0.12,0.16,SYNTHETIC,1.1.0,TECHNICAL_HIGH_CAPACITY,Daha yüksek teknik kapasite ve ileri teşhis imkânına sahip servis profili.
WS0005,RideBase Sentetik Premium Servis Antalya,Antalya,COASTAL_TOURISM,Akdeniz,MEDITERRANEAN_HOT,PREMIUM,09:00,19:00,"MON,TUE,WED,THU,FRI,SAT",0,9,11,4,23,0.78,0.22,1.2,0.9,1,BIG_SCOOTER;TOURING;ADVENTURE;PREMIUM,ICE;EV,CHAIN;V_BELT;BELT;SHAFT;DIRECT,1,1,1,1.22,1.18,1.08,0.08,0.08,SYNTHETIC,1.1.0,PREMIUM_TOURING_COASTAL,"Premium, tur ve büyük scooter ağırlıklı kıyı servisi."
WS0006,RideBase Sentetik Servis Konya,Konya,LARGE_INLAND,İç Anadolu,CONTINENTAL_DRY,LOW,08:00,18:00,"MON,TUE,WED,THU,FRI,SAT",1,5,6,1,13,0.4,0.6,2.4,0.65,1,COMMUTER;CUB;NAKED,ICE,CHAIN;V_BELT,0,1,0,0.88,0.95,0.92,0.14,0.3,SYNTHETIC,1.1.0,VALUE_INLAND,Daha düşük fiyat ve daha uzun parça tedarik süresi olan iç bölge servisi.
WS0007,RideBase Sentetik Servis Adana,Adana,HOT_METROPOLITAN,Akdeniz,MEDITERRANEAN_HOT,MEDIUM,08:30,19:00,"MON,TUE,WED,THU,FRI,SAT",0,6,7,2,16,0.52,0.48,1.7,0.8,1,SCOOTER;COMMUTER;COURIER,ICE;EV,CHAIN;V_BELT;DIRECT,1,1,0,1.0,1.0,1.16,0.31,0.09,SYNTHETIC,1.1.0,COURIER_HOT_CLIMATE,Kurye ve yoğun şehir içi kullanımın yüksek olduğu sıcak iklim servisi.
WS0008,RideBase Sentetik Servis Gaziantep,Gaziantep,INDUSTRIAL_INLAND,Güneydoğu Anadolu,SEMI_ARID_HOT,HIGH,08:00,18:30,"MON,TUE,WED,THU,FRI,SAT",0,7,9,3,19,0.65,0.35,1.6,0.83,1,NAKED;COMMUTER;FLEET;COURIER,ICE;EV,CHAIN;V_BELT;DIRECT,1,1,1,1.12,1.12,1.1,0.26,0.18,SYNTHETIC,1.1.0,FLEET_TECHNICAL,Filo ve ticari kullanıma daha fazla hizmet veren teknik servis profili.
WS0009,RideBase Sentetik Servis Samsun,Samsun,COASTAL_REGIONAL,Karadeniz,HUMID_RAINY,MEDIUM,08:30,18:00,"MON,TUE,WED,THU,FRI,SAT",0,5,6,2,13,0.56,0.44,2.0,0.74,1,COMMUTER;SCOOTER;TOURING,ICE;EV,CHAIN;V_BELT;DIRECT,1,1,0,1.01,1.04,0.94,0.12,0.33,SYNTHETIC,1.1.0,RAINY_COASTAL,Yağışlı iklim ve daha belirgin sezon etkisi bulunan bölgesel servis.
WS0010,RideBase Sentetik Premium Servis Eskişehir,Eskişehir,UNIVERSITY_URBAN,İç Anadolu,CONTINENTAL_COOL,PREMIUM,09:00,18:30,"MON,TUE,WED,THU,FRI,SAT",0,6,8,3,16,0.82,0.18,1.4,0.88,1,NAKED;SPORT;EV;DIAGNOSTICS,ICE;EV,CHAIN;V_BELT;BELT;DIRECT,1,1,1,1.2,1.2,0.9,0.09,0.31,SYNTHETIC,1.1.0,PREMIUM_DIAGNOSTIC_EV,"Randevu ağırlıklı, ileri teşhis ve EV desteği güçlü premium servis."
