name,group,source,formula,landmark_cutoff,missing_semantics,provenance,production_derivable,leakage_risk,keep
appointments_180d,appointment,appointments.csv,"count scheduled appointments in [landmark-179d, landmark] created by landmark",only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
attended_appointment_count,appointment,appointments.csv,count prior appointments converted to service,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
no_show_rate,appointment,appointments.csv,prior no-show count / prior completed appointment count; 0 with no history,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
cancellation_rate,appointment,appointments.csv,prior cancellation count / prior completed appointment count; 0 with no history,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
successful_appointment_rate,appointment,appointments.csv,prior converted count / prior completed appointment count; 0 with no history,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
rebook_after_no_show_rate,appointment,appointments.csv,prior no-shows followed by a new appointment creation by landmark / prior no-shows,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
days_since_last_appointment,appointment,appointments.csv,landmark minus latest prior scheduled appointment date,only records whose effective/known timestamp is <= landmark_at,NaN when no prior scheduled appointment,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
known_open_appointment_count,appointment,appointments.csv,created by landmark and scheduled after landmark; outcome ignored,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
recent_no_show_without_rebook,appointment,appointments.csv,1 when a no-show in prior 180d has no later creation by landmark,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
overdue_service_share,adherence,services.csv,share of completed services with positive recorded pre-service overdue days or km,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
prior_service_delay_median,adherence,services.csv,median service_delay_days over completed prior services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
prior_service_delay_p90,adherence,services.csv,90th percentile service_delay_days over completed prior services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
last3_service_delay_trend,adherence,services.csv,OLS slope by order over the last three completed service delays,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
interservice_days_cv,adherence,services.csv,coefficient of variation of completed-service date gaps; 0 with <3 services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
interservice_km_cv,adherence,services.csv,coefficient of variation of positive odometer gaps; 0 with <3 services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
recency_weighted_adherence_score,adherence,services.csv,exp(-age/365)-weighted share with delay <= 0; 0.5 with no history,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
service_gap_acceleration,adherence,services.csv,last completed-service day gap / prior-gap mean - 1; 0 with <3 services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
days_since_last_any_interaction,engagement,appointments.csv + services.csv,landmark minus latest appointment creation or service delivery,only records whose effective/known timestamp is <= landmark_at,NaN when no prior appointment creation or completed service,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
interaction_count_90d,engagement,appointments.csv + services.csv,appointment creations plus service deliveries in prior 90d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
interaction_count_180d,engagement,appointments.csv + services.csv,appointment creations plus service deliveries in prior 180d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
appointment_frequency_365d,engagement,appointments.csv + services.csv,appointment creations in prior 365d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
distinct_workshops_before_landmark,workshop,services.csv,distinct workshops across completed prior services,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
dominant_workshop_share,workshop,services.csv,largest completed-service workshop share; 0 with no history,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
same_workshop_streak,workshop,services.csv,consecutive completed services at the most recent workshop,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
recent_30d_km,usage,mileage_timeline_monthly.csv,sum monthly km_added for observations ending in prior 30d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
recent_180d_km,usage,mileage_timeline_monthly.csv,sum monthly km_added for observations ending in prior 180d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
usage_velocity_ratio_30_vs_180,usage,mileage_timeline_monthly.csv,30d daily km / 180d daily km; 0 when 180d km is zero,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
usage_volatility_6m,usage,mileage_timeline_monthly.csv,coefficient of variation of last six observed monthly km values,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
odometer_observation_recency_days,usage,mileage_timeline_monthly.csv,landmark minus latest completed mileage period end,only records whose effective/known timestamp is <= landmark_at,NaN when no completed monthly observation,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
km_growth_slope_6m,usage,mileage_timeline_monthly.csv,OLS slope per observation over last six monthly km values,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
breakdown_count_90d,breakdown,services.csv,completed breakdown services in prior 90d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
repair_count_90d,breakdown,services.csv,completed REPAIR services in prior 90d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
safety_critical_repair_recent,breakdown,services.csv,1 for HIGH/CRITICAL completed failure in prior 180d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
days_since_last_breakdown,breakdown,services.csv,landmark minus latest completed breakdown,only records whose effective/known timestamp is <= landmark_at,NaN when no prior completed breakdown,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
repeated_breakdown_flag,breakdown,services.csv,1 for at least two completed breakdowns in prior 365d,only records whose effective/known timestamp is <= landmark_at,0 means no qualifying observed history,raw V1.5 source history,True,LOW_WITH_ENFORCED_CUTOFF,True
