column,source,available_at_snapshot,future_information,leakage_risk,action,reason
snapshot_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
source_service_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_at,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_date,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
service_sequence,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_year,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_month,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_quarter,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_day_of_year,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_month_sin,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
snapshot_month_cos,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
motorcycle_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
customer_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
workshop_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
model_id,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
brand,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
model_name,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
category,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
powertrain_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
engine_displacement_cc,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
cylinder_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
cooling_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
final_drive_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
transmission_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
engine_oil_service_qty_l,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
spark_plug_count,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
fuel_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
policy_group,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
policy_ready,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
spec_confidence,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
production_year,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
motorcycle_age_years,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
ownership_months,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
initial_mileage_km,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
is_left_truncated,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
days_observed,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
customer_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
is_fleet_customer,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
acquisition_channel,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
usage_type,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
annual_km_baseline,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
city_ratio,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
highway_ratio,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
offroad_ratio,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
track_ratio,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_ride_days_per_week,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
daily_active_probability,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
avg_km_per_active_day,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
riding_intensity,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
seasonality_strength,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
winter_usage_factor,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
weather_sensitivity,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
storage_condition,ml_maintenance_snapshots,True,False,NONE,AUDITED_CANDIDATE,Snapshot-time or historical field
