feature_name,source,available_at_snapshot,future_information,identifier,used,leakage_status,reason
snapshot_id,ml_maintenance_snapshots.parquet,True,False,True,False,PASS,Row/entity unique identifier; feature dışı
source_service_id,ml_maintenance_snapshots.parquet,True,False,True,False,PASS,Row/entity unique identifier; feature dışı
snapshot_at,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
snapshot_date,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
service_sequence,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_month,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_quarter,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_day_of_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_month_sin,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
snapshot_month_cos,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
motorcycle_id,ml_maintenance_snapshots.parquet,True,False,True,False,PASS,Row/entity unique identifier; feature dışı
customer_id,ml_maintenance_snapshots.parquet,True,False,True,False,PASS,Row/entity unique identifier; feature dışı
workshop_id,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
model_id,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
brand,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
model_name,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
category,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
powertrain_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
engine_displacement_cc,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
cylinder_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
cooling_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
final_drive_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
transmission_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
engine_oil_service_qty_l,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
spark_plug_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
fuel_type,ml_maintenance_snapshots.parquet,True,False,False,False,PASS,"Metadata, redundant veya raw datetime; feature dışı"
policy_group,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
policy_ready,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
spec_confidence,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
production_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
motorcycle_age_years,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
ownership_months,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
initial_mileage_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
is_left_truncated,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
days_observed,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
customer_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
is_fleet_customer,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
acquisition_channel,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
usage_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
annual_km_baseline,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
city_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
highway_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
offroad_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
track_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_ride_days_per_week,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
daily_active_probability,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
avg_km_per_active_day,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
riding_intensity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
seasonality_strength,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
winter_usage_factor,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
weather_sensitivity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
storage_condition,ml_maintenance_snapshots.parquet,True,False,False,True,PASS,"Snapshot anında mevcut, preprocessing contract featureı"
