policy_id,scope_type,model_id,policy_group,task_code,policy_kind,initial_trigger_km,recurring_km,initial_trigger_months,recurring_months,trigger_mode,severe_use_multiplier,courier_multiplier,offroad_multiplier,dusty_environment_multiplier,wear_mean_km,wear_sd_km,wear_min_km,wear_max_km,precedence,evidence_level,source_authority,source_model_or_family,source_url,source_page_or_note,confidence,is_manufacturer_exact_interval,is_generator_active,policy_version,notes
POL0001,GROUP,,EV_HUB_MOTOR,EV_TRACTION_BATTERY_HEALTH_CHECK,SCHEDULED,,12000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,Simulation cadence only; not claimed as manufacturer exact.
POL0002,GROUP,,EV_HUB_MOTOR,EV_CHARGING_PORT_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0003,GROUP,,EV_HUB_MOTOR,EV_HIGH_VOLTAGE_SYSTEM_INSPECTION,SCHEDULED,,12000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0004,GROUP,,EV_HUB_MOTOR,EV_DRIVE_MOTOR_DIAGNOSTIC,CONDITION_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0005,GROUP,,EV_HUB_MOTOR,GENERAL_SAFETY_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0006,GROUP,,EV_HUB_MOTOR,FRONT_BRAKE_PAD_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0007,GROUP,,EV_HUB_MOTOR,REAR_BRAKE_PAD_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0008,GROUP,,EV_HUB_MOTOR,FRONT_TIRE_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0009,GROUP,,EV_HUB_MOTOR,REAR_TIRE_INSPECTION,SCHEDULED,,6000.0,,12.0,WHICHEVER_FIRST,1.0,1.0,1.0,1.0,,,,,10,SIMULATION_BACKOFF,RideBase engineering backoff,,,,MEDIUM,0,1,1.1.0,
POL0010,GROUP,,EV_HUB_MOTOR,BRAKE_FLUID_CHANGE,SCHEDULED,,,,24.0,TIME_ONLY,1.0,1.0,1.0,1.0,,,,,10,REPRESENTATIVE_BACKOFF,Honda/KYMCO representative schedules,,https://www.honda.com.tr/assets/files/Bx6KmWpQrT1715073681294.pdf,PCX schedule lists brake fluid replacement every 2 years.,MEDIUM,0,1,1.1.0,
POL0011,GROUP,,EV_HUB_MOTOR,FRONT_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,18000.0,5000.0,8000.0,35000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
POL0012,GROUP,,EV_HUB_MOTOR,REAR_TIRE_CHANGE,WEAR_BASED,,,,,CONDITION_ONLY,1.0,1.0,1.0,1.0,14000.0,4500.0,6000.0,30000.0,10,SIMULATION_PRIOR,RideBase simulation prior,,,,LOW,0,1,1.1.0,
