feature_name,source,snapshot_available,future_info,target_derived,in_production_derivable,leakage_status
service_sequence,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_month,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_quarter,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_day_of_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_month_sin,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
snapshot_month_cos,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
brand,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
category,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
powertrain_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
engine_displacement_cc,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
cylinder_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
cooling_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
final_drive_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
transmission_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
engine_oil_service_qty_l,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
spark_plug_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
fuel_type,ml_maintenance_snapshots.parquet,True,False,False,False,PASS
policy_group,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
policy_ready,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
spec_confidence,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
production_year,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
motorcycle_age_years,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
ownership_months,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
initial_mileage_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
is_left_truncated,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_observed,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
customer_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
is_fleet_customer,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
acquisition_channel,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
usage_type,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
annual_km_baseline,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
city_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
highway_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
offroad_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
track_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_ride_days_per_week,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
daily_active_probability,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_km_per_active_day,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
riding_intensity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
seasonality_strength,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
winter_usage_factor,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
weather_sensitivity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
storage_condition,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
load_severity_factor,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
climate_zone,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
workshop_city,ml_maintenance_snapshots.parquet,True,False,False,False,PASS
workshop_region,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
workshop_climate_zone,ml_maintenance_snapshots.parquet,True,False,False,False,PASS
price_level,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
service_bay_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
technician_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
daily_service_capacity,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
appointment_rate,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_parts_lead_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
same_day_parts_rate,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
labor_rate_index,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
customer_volume_index,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
courier_customer_share,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_mileage_source,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_mileage_quality_flag,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_mileage_estimated,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_service_type_code,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_arrival_mode,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_primary_trigger_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_service_delay_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_is_breakdown,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_is_warranty,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_service_timestamp_repaired,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_labor_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_parts_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_grand_total,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_completed_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_declined_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_policy_due_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_fault_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_inspection_finding_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_replace_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_parts_line_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
current_supplier_parts_line_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_km_per_day_since_previous_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_service_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_service_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
rolling3_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
rolling3_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
service_odometer_regression_count_to_date,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
periodic_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
repair_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
breakdown_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
warranty_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
appointment_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
walkin_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
services_last_90d,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
services_last_365d,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
cumulative_service_spend,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
avg_service_spend,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_completed_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_declined_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_policy_due_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_fault_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_inspection_finding_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
total_replace_task_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_engine_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_engine_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_brakes_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_brakes_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_final_drive_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_final_drive_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_tires_wheels_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_tires_wheels_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_electrical_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_electrical_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_transmission_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_transmission_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_cooling_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_cooling_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
days_since_intake_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
km_since_intake_task,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
maintenance_overdue_days_pre_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
maintenance_overdue_km_pre_service,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
previous_failure_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
previous_service_count,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
previous_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
previous_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_interval_days_median,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_interval_days_std,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_interval_km_median,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_interval_km_std,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_policy_delay_median_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_policy_delay_mean_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
historical_on_time_rate,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
previous_policy_delay_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_30d_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_60d_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_90d_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_180d_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_km_per_day,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
long_term_km_per_day,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
policy_interval_days,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
policy_interval_km,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
recent_vs_long_term_usage_ratio,ml_maintenance_snapshots.parquet,True,False,False,True,PASS
