model_feature,synthetic_source,expected_real_source,transformation,status,notes
split,n/a — data-partition label,none,constant sentinel at inference; contributes ~0; drop in real-data retrain,INERT,inert — remove when retraining on real data
snapshot_year,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
snapshot_month,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
snapshot_month_sin,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
snapshot_month_cos,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
brand,spec,spec,direct field,READY,1:1 field
category,spec,spec,direct field,READY,1:1 field
powertrain_type,spec,spec,direct field,READY,1:1 field
engine_displacement_cc,spec,spec,direct field,READY,1:1 field
cylinder_count,spec,spec,direct field,READY,1:1 field
cooling_type,spec,spec,direct field,READY,1:1 field
final_drive_type,spec,spec,direct field,READY,1:1 field
transmission_type,spec,spec,direct field,READY,1:1 field
spark_plug_count,spec,spec,direct field,READY,1:1 field
fuel_type,spec,spec,direct field,READY,1:1 field
policy_group,policy,policy,direct field,READY,1:1 field
policy_ready,policy,policy,direct field,READY,1:1 field
spec_confidence,policy,policy,direct field,READY,1:1 field
production_year,spec,spec,direct field,READY,1:1 field
motorcycle_age_years,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
ownership_months,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
initial_mileage_km,odometer/mileage history,odometer/mileage history,direct field,READY,1:1 field
is_left_truncated,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
days_observed,snapshot timestamp + registration date,"snapshot_date, first_seen_date",compute at request time from dates,DERIVABLE,needs history/derivation pipeline
customer_type,customer,customer,direct field,READY,1:1 field
is_fleet_customer,customer,customer,direct field,READY,1:1 field
acquisition_channel,customer,customer,direct field,READY,1:1 field
usage_type,customer,customer,direct field,READY,1:1 field
annual_km_baseline,telematics/usage,telematics/usage,direct field,READY,1:1 field
city_ratio,telematics/usage,telematics/usage,direct field,READY,1:1 field
highway_ratio,telematics/usage,telematics/usage,direct field,READY,1:1 field
offroad_ratio,telematics/usage,telematics/usage,direct field,READY,1:1 field
track_ratio,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
avg_ride_days_per_week,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
avg_km_per_active_day,service + odometer history,"service_events, odometer_readings",rolling / windowed aggregation over history,DERIVABLE,needs history/derivation pipeline
riding_intensity,telematics/usage,telematics/usage,direct field,READY,1:1 field
seasonality_strength,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
winter_usage_factor,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
weather_sensitivity,mixed,RideBase core tables,derive per mapping table,DERIVABLE,needs history/derivation pipeline
storage_condition,telematics/usage,telematics/usage,direct field,READY,1:1 field
load_severity_factor,telematics/usage,telematics/usage,direct field,READY,1:1 field
climate_zone,telematics/usage,telematics/usage,direct field,READY,1:1 field
workshop_city,workshop,workshop,direct field,READY,1:1 field
workshop_region,workshop,workshop,direct field,READY,1:1 field
