ridebase_brand,ridebase_model,ridebase_variant,source_brand,source_model,source_variant,match_type,match_confidence,year_match,market_match,notes
Bajaj,Pulsar NS200,Pulsar NS200 UG2,Bajaj,Pulsar NS 200,NS200 BS VI,VARIANT_MATCH,MEDIUM,UNKNOWN,PARTIAL,RideBase row = TR listing 'UG2'. Manual = India BS VI. Same platform/displacement; India schedule applied with market=IN flag. TR service interval may differ.
Royal Enfield,Hunter 350,current spec,Royal Enfield,Hunter 350,Single/Dual channel BS VI,NORMALIZED_EXACT,HIGH,APPROXIMATE,PARTIAL,Global owner's manual; TR-market schedule assumed identical (RE uses one global schedule). year_from 2022; RideBase 'current spec'.
Yamaha,XSR125,2024 EU spec,Yamaha,XSR125,MTM125 BFG-F8199-E0,NORMALIZED_EXACT,HIGH,APPROXIMATE,EXACT,"Same model/generation; 2021 owner's manual, RideBase row 2024 (facelift, unchanged 124cc liquid-cooled engine & schedule)."
Yamaha,NMAX 125,2026 EU spec,Yamaha,NMAX 125,GPD125-A 2DS-F8199-E0,GENERATION_MISMATCH,MEDIUM,PARTIAL,EXACT,Manual covers 2015-2021 GPD125-A; RideBase row references the 2021+ redesigned NMAX 125. Same nameplate/displacement/EU market; interval structure historically stable but not verified for the new generation.
KTM,390 Duke,2026 TR spec,KTM,390 Duke,398cc MY2024 (art.no 3214960en),NORMALIZED_EXACT,HIGH,APPROXIMATE,PARTIAL,Same 398cc generation (2024-2025+). Manual schedule is generic/global; RideBase row is TR-market. KTM explicitly notes country-dependent intervals.
CFMOTO,250NK,current TR listing,CFMOTO,250NK,CF250-A,NORMALIZED_EXACT,HIGH,UNKNOWN,PARTIAL,Exact model. Manual is the English export edition (market GLOBAL); RideBase row is TR-market.
Bajaj,Pulsar NS125,current TR listing,Bajaj,Pulsar NS 125,NS125 BS VI,NORMALIZED_EXACT,HIGH,UNKNOWN,PARTIAL,Exact model. Manual is the India BS VI edition; RideBase row is TR-market (interval may differ).
Bajaj,Dominar D250,current TR listing,Bajaj,Dominar 250,Dominar 250 BS VI,NORMALIZED_EXACT,HIGH,APPROXIMATE,PARTIAL,Exact model. Manual is the India BS VI edition; RideBase row is TR-market.
Honda,PCX125,current TR listing,Honda,PCX125,WW125A PCX125-21-OWNERS (UK),NORMALIZED_EXACT,HIGH,APPROXIMATE,EXACT,"Exact model, UK/EU owner's manual. Only partial task-level extraction (graphic checkmarks)."
Yamaha,XMAX 250,2025 TR fact sheet,Yamaha,XMAX 250,CZD250D-A UBMKSAS0,NORMALIZED_EXACT,HIGH,APPROXIMATE,EXACT,Same current generation (2018+). EU owner's manual; RideBase row is the 2025 TR fact sheet (same EU-spec vehicle).
Honda,CB125F,current TR listing,Honda,CB125F,GLR1251/JC64 32KPNB110 (2017-2019),GENERATION_MISMATCH,MEDIUM,PARTIAL,EXACT,RideBase row is the current CB125F (2016-2026). Manual is the 2017-2019 GLR125 generation; the 2021+ CB125F (CBF125M / eSP+ JC91) has a different service interval (6000 km).
Mondial,50 UAG,current,Mondial,50 UAG,50 UAG ec,NORMALIZED_EXACT,HIGH,UNKNOWN,EXACT,"Exact model, official Turkiye manual. Table is shared across Mondial's cub 50cc range."
Mondial,SFC MINI 50ec,current,Mondial,SFC MINI 50ec,SFC Serisi (50 SFC ec),NORMALIZED_EXACT,HIGH,UNKNOWN,EXACT,"Exact model, official Turkiye manual. Table is shared across Mondial's cub 50cc range."
Mondial,Wing 50i,current,Mondial,Wing 50i,WING 50 I (EURO 5),NORMALIZED_EXACT,HIGH,UNKNOWN,EXACT,"Exact model, official Turkiye manual. Table is shared across Mondial's scooter 50cc range."
Mondial,Exon 50,current,Mondial,Exon 50,EXON 50 I (EURO 5),NORMALIZED_EXACT,HIGH,UNKNOWN,EXACT,"Exact model, official Turkiye manual. Table is shared across Mondial's scooter 50cc range."
Mondial,Turismo 50i,current,Mondial,Turismo 50i,TURISMO 50 I (EURO 5),NORMALIZED_EXACT,HIGH,UNKNOWN,EXACT,"Exact model, official Turkiye manual. Table is shared across Mondial's scooter 50cc range."
SYM,Jet X 125 TCS ABS,current TR listing,SYM,JET X,24-JETX,NORMALIZED_EXACT,HIGH,APPROXIMATE,PARTIAL,Exact model. SYM Global owner's manual; RideBase row is the TR listing (SYM Turkiye distributor may print the same schedule).
TVS,Raider 125,current,TVS,Raider 125,Raider 125 BS VI,NORMALIZED_EXACT,HIGH,UNKNOWN,PARTIAL,Exact model. India BS VI owner's manual; RideBase row is TR-market.
TVS,Apache RTR 200 4V FI,current,TVS,Apache RTR 200 4V,Apache RTR 200 4V FI BS VI,NORMALIZED_EXACT,HIGH,UNKNOWN,PARTIAL,Exact model. India BS VI owner's manual; RideBase row is TR-market.
CFMOTO,650NK,current TR listing,CFMOTO,650NK,CF650-7F 650nk-2024,NORMALIZED_EXACT,HIGH,APPROXIMATE,PARTIAL,Exact model. EU owner's manual (covers 400NK+650NK); RideBase row is TR-market.
TVS,Jupiter 125,current,TVS,Jupiter 125,Jupiter 125 DT-SXC BS VI,NORMALIZED_EXACT,HIGH,UNKNOWN,PARTIAL,Exact model. India BS VI owner's manual; RideBase row is TR-market.
Honda,SH125i,current TR listing,Honda,SH125i,JF95 32K0RA000 (21YM),NORMALIZED_EXACT,HIGH,APPROXIMATE,EXACT,"Exact model, UK/EU owner's manual. Only partial task-level extraction (graphic checkmarks)."
KYMCO,X-Town CT 250,current TR listing,KYMCO,X-TOWN CT250,X-TOWN CT125/CT250/CT300 OM,NORMALIZED_EXACT,HIGH,APPROXIMATE,EXACT,Exact model; the manual has a dedicated CT250/300 schedule chart (separate from CT125).
