policy_id,brand,model,variant,year_from,year_to,market,engine_cc,category,first_service_km_min,first_service_km_max,second_service_km_min,second_service_km_max,regular_service_interval_km,first_service_months,regular_service_interval_months,service_rule_type,source_id,confidence,notes
POL_BAJAJ_NS200,Bajaj,Pulsar NS200,RS200/NS200 BS VI,UNKNOWN,UNKNOWN,IN,199.5,NAKED,500,750,4500,5000,5000,UNKNOWN,4,WHICHEVER_COMES_FIRST,SRC_BAJAJ_NS200_OM_BS6,HIGH,"Schedule cols: 1st 500-750, 2nd 4500-5000, then every 5000 km to 75000. Warranty p45: 'paid services at subsequent 5000 kms. or 120 days from last service whichever is earlier' -> 4 months."
POL_RE_HUNTER350,Royal Enfield,Hunter 350,Single/Dual channel,2022,UNKNOWN,GLOBAL,349.0,ROADSTER,500,500,5000,5000,5000,1.5,6,WHICHEVER_COMES_FIRST,SRC_RE_HUNTER350_OM,HIGH,"Free services p103: 1st 500 km/45 days, 2nd 5000 km/6 mo, 3rd 10000/12mo, 4th 15000/18mo. Chart columns run 0.5,5,10,...,50 (x1000 km) = every 5000 km / 6 months."
POL_YAM_XSR125,Yamaha,XSR125,MTM125,2021,UNKNOWN,EU,124,NAKED,1000,1000,6000,6000,6000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_YAM_XSR125_OM_2021,HIGH,Chart grid 1000/6000/12000/18000/24000 km + ANNUAL. TIP p6-3: 'annual checks every year unless a distance-based maintenance is performed instead'; 'From 30000 km repeat the maintenance intervals starting from 6000 km'. Engine oil change 'at the initial interval and every 3000 km thereafter'.
POL_YAM_NMAX125,Yamaha,NMAX 125,GPD125-A,2015,2021,EU,125,SCOOTER,1000,1000,6000,6000,6000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_YAM_NMAX125_OM_GPD125A,HIGH,"Chart grid 1000/6000/12000/18000/24000 km + ANNUAL; from 30000 km repeat from 6000 km. Engine oil: oil-change indicator flashes 5000 km after the initial 1000 km, then every 6000 km."
POL_KTM_390DUKE,KTM,390 Duke,398cc,2024,UNKNOWN,GLOBAL,399,NAKED,1000,1000,10000,10000,10000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_KTM_390DUKE_OM_2024,HIGH,"Service work chart columns: after 1,000 km (one-time); every 10,000 km / 12 months (periodic); extended items every 20,000 km / 24 months; brake fluid & coolant change every 24-48 months; fault-memory read + test ride at every service."
POL_CFMOTO_250NK,CFMOTO,250NK,CF250-A,UNKNOWN,UNKNOWN,GLOBAL,249,NAKED,500,1000,5000,5000,5000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_CFMOTO_250NK_OM,MEDIUM,"Break-in period first 1000 km. Service grid every 5000 km to 30000. Engine oil tighter: first change 500 km, then every 3000 km / 6 months. Most chassis inspections carry a '1 year' trigger."
POL_BAJAJ_NS125,Bajaj,Pulsar NS125,NS125 BS VI,UNKNOWN,UNKNOWN,IN,124,NAKED,500,750,4500,5000,5000,UNKNOWN,4,WHICHEVER_COMES_FIRST,SRC_BAJAJ_NS125_OM_BS6,HIGH,"Chart columns: 1st 500-750, 2nd 4500-5000, 3rd 9500-10000, then every 5000 km to 75000. 3 free + subsequent paid services. Air-cooled 125 (no coolant)."
POL_BAJAJ_DOMINAR250,Bajaj,Dominar 250,Dominar 250 BS VI,UNKNOWN,UNKNOWN,IN,249,TOURING,500,750,4500,5000,5000,UNKNOWN,4,WHICHEVER_COMES_FIRST,SRC_BAJAJ_DOMINAR250_OM_BS6,HIGH,"Chart columns: 1st 500-750, 2nd 4500-5000, 3rd 9500-10000, then every 5000 km to 75000. Service reminder icon at ~450/4450/9450/14450 km then every 5000 km."
POL_HONDA_PCX125,Honda,PCX125,WW125A,2021,UNKNOWN,EU,125,SCOOTER,1000,1000,6000,6000,6000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_HONDA_PCX125_OM_UK21,MEDIUM,"Running-in first 500 km. Schedule grid x1000 km = 1/6/12/18/24/30/36 with an Annual Check column; note *1 'At higher odometer reading, repeat at the frequency interval established here'. First column at 1000 km implies first service ~1000 km; regular interval taken as 6000 km from the grid spacing (per-column marks not machine-readable)."
POL_YAM_XMAX250,Yamaha,XMAX 250,CZD250D-A,2018,UNKNOWN,EU,249,BIG_SCOOTER,1000,1000,10000,10000,10000,UNKNOWN,12,WHICHEVER_COMES_FIRST,SRC_YAM_XMAX250_OM_2023,HIGH,"Column grid 1000/10000/20000/30000/40000 km + ANNUAL. 'Las comprobaciones anuales deben efectuarse cada ano, salvo si en su lugar se realiza un mantenimiento basado en la distancia.'"
